,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
18043,Oregon,Percent of adults who report consuming vegetables less than one time daily,26.2,Race/Ethnicity,Non-Hispanic Black
18044,North Carolina,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.6,Race/Ethnicity,2 or more races
18045,Virginia,Percent of adults aged 18 years and older who have an overweight classification,30.3,Age (years),25 - 34
18046,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.6,Race/Ethnicity,Non-Hispanic White
18047,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.1,Age (years),55 - 64
18048,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.5,Age (years),55 - 64
18049,Florida,Percent of adults who engage in no leisure-time physical activity,25.4,Race/Ethnicity,Asian
18050,District of Columbia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),59.7,Age (years),55 - 64
18051,District of Columbia,Percent of adults aged 18 years and older who have obesity,29.7,Age (years),65 or older
18052,New Mexico,Percent of adults aged 18 years and older who have an overweight classification,39.0,Income,"$35,000 - $49,999"
18053,Tennessee,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,36.7,Income,"$75,000 or greater"
18054,Idaho,Percent of adults who engage in no leisure-time physical activity,24.8,Age (years),65 or older
18055,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.6,Income,"$50,000 - $74,999"
18056,New Jersey,Percent of adults aged 18 years and older who have an overweight classification,36.9,Total,Total
18057,Tennessee,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,9.9,Income,"$35,000 - $49,999"
18058,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.0,Age (years),25 - 34
18059,Connecticut,Percent of adults who engage in no leisure-time physical activity,23.2,Gender,Male
18060,Massachusetts,Percent of adults who engage in no leisure-time physical activity,37.4,Income,"Less than $15,000"
18061,Vermont,Percent of adults who engage in no leisure-time physical activity,24.9,Income,Data not reported
18062,Montana,Percent of adults aged 18 years and older who have obesity,38.4,Race/Ethnicity,American Indian/Alaska Native
18063,New Jersey,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,32.1,Education,Some college or technical school
18064,Kansas,Percent of adults aged 18 years and older who have an overweight classification,32.3,Age (years),35 - 44
18065,Idaho,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.4,Income,Data not reported
18066,Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,31.1,Education,College graduate
18067,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.8,Income,"$35,000 - $49,999"
18068,Idaho,Percent of adults aged 18 years and older who have an overweight classification,40.6,Age (years),65 or older
18069,Maryland,Percent of adults aged 18 years and older who have an overweight classification,33.8,Income,Data not reported
18070,Hawaii,Percent of adults who engage in no leisure-time physical activity,12.5,Income,"$75,000 or greater"
18071,Rhode Island,Percent of adults aged 18 years and older who have obesity,13.7,Age (years),18 - 24
18072,Indiana,Percent of adults aged 18 years and older who have obesity,35.2,Income,"$25,000 - $34,999"
18073,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.6,Race/Ethnicity,Non-Hispanic Black
18074,Connecticut,Percent of adults who report consuming vegetables less than one time daily,26.6,Income,"$15,000 - $24,999"
18075,Nevada,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.5,Gender,Female
18076,Iowa,Percent of adults who engage in no leisure-time physical activity,16.2,Race/Ethnicity,Asian
18077,Guam,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.7,Age (years),55 - 64
18078,New Mexico,Percent of adults who report consuming vegetables less than one time daily,31.9,Income,"Less than $15,000"
18079,Missouri,Percent of adults who engage in no leisure-time physical activity,15.1,Education,College graduate
18080,New Mexico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),52.6,Income,Data not reported
18081,Delaware,Percent of adults aged 18 years and older who have obesity,37.7,Income,"$15,000 - $24,999"
18082,Texas,Percent of adults who report consuming vegetables less than one time daily,33.7,Race/Ethnicity,Hispanic
18083,Kansas,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.1,Age (years),35 - 44
18084,Ohio,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.6,Income,"Less than $15,000"
18085,Illinois,Percent of adults aged 18 years and older who have obesity,32.8,Age (years),35 - 44
18086,Iowa,Percent of adults aged 18 years and older who have obesity,30.4,Gender,Male
18087,Virginia,Percent of adults who engage in no leisure-time physical activity,11.6,Education,College graduate
18088,Kentucky,Percent of adults aged 18 years and older who have obesity,29.1,Income,"$75,000 or greater"
18089,Oregon,Percent of adults aged 18 years and older who have an overweight classification,33.3,Race/Ethnicity,Non-Hispanic White
18090,Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.3,Education,Less than high school
18091,Nevada,Percent of adults aged 18 years and older who have an overweight classification,41.4,Race/Ethnicity,Asian
18092,Massachusetts,Percent of adults who engage in no leisure-time physical activity,26.1,Education,High school graduate
18093,Iowa,Percent of adults aged 18 years and older who have an overweight classification,35.8,Income,"$35,000 - $49,999"
18094,Wyoming,Percent of adults who report consuming vegetables less than one time daily,12.7,Education,Some college or technical school
18095,Montana,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Asian
18096,New Jersey,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,11.4,Education,Less than high school
18097,Alabama,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.3,Education,Some college or technical school
18098,New Hampshire,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,Non-Hispanic Black
18099,Minnesota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Hawaiian/Pacific Islander
18100,Utah,Percent of adults who report consuming vegetables less than one time daily,15.4,Race/Ethnicity,2 or more races
18101,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Hawaiian/Pacific Islander
18102,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,29.2,Income,"$25,000 - $34,999"
18103,Illinois,Percent of adults aged 18 years and older who have obesity,27.4,Income,Data not reported
18104,New Jersey,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,American Indian/Alaska Native
18105,Kansas,Percent of adults aged 18 years and older who have obesity,34.8,Income,"$35,000 - $49,999"
18106,Vermont,Percent of adults aged 18 years and older who have obesity,31.6,Age (years),45 - 54
18107,Washington,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,38.9,Age (years),25 - 34
18108,Hawaii,Percent of adults aged 18 years and older who have obesity,27.8,Education,High school graduate
18109,Missouri,Percent of adults aged 18 years and older who have obesity,32.0,Race/Ethnicity,Non-Hispanic White
18110,Minnesota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.9,Race/Ethnicity,Non-Hispanic Black
18111,New Hampshire,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,37.1,Race/Ethnicity,Non-Hispanic White
18112,Utah,Percent of adults aged 18 years and older who have an overweight classification,34.1,Education,High school graduate
18113,West Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.2,Education,Less than high school
18114,Alaska,Percent of adults aged 18 years and older who have obesity,28.9,Income,Data not reported
18115,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,39.0,Income,"$35,000 - $49,999"
18116,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Asian
18117,Michigan,Percent of adults aged 18 years and older who have obesity,9.6,Race/Ethnicity,Asian
18118,Virginia,Percent of adults who report consuming vegetables less than one time daily,20.6,Gender,Male
18119,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.6,Race/Ethnicity,Hispanic
18120,Maryland,Percent of adults who engage in no leisure-time physical activity,33.0,Income,"Less than $15,000"
18121,Massachusetts,Percent of adults who engage in no leisure-time physical activity,14.3,Income,"$75,000 or greater"
18122,Tennessee,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),40.3,Income,"$15,000 - $24,999"
18123,Virgin Islands,Percent of adults who report consuming vegetables less than one time daily,21.4,Education,College graduate
18124,Kansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.8,Age (years),55 - 64
18125,Oklahoma,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.2,Total,Total
18126,Virginia,Percent of adults aged 18 years and older who have an overweight classification,38.1,Gender,Male
18127,Kansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.7,Income,"$50,000 - $74,999"
18128,North Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.8,Race/Ethnicity,Non-Hispanic Black
18129,Washington,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.4,Income,"Less than $15,000"
18130,Guam,Percent of adults aged 18 years and older who have obesity,28.7,Income,Data not reported
18131,Washington,Percent of adults aged 18 years and older who have an overweight classification,37.2,Age (years),45 - 54
18132,New York,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.5,Race/Ethnicity,Asian
18133,Utah,Percent of adults aged 18 years and older who have obesity,34.8,Education,Less than high school
18134,North Carolina,Percent of adults who engage in no leisure-time physical activity,30.7,Education,High school graduate
18135,Puerto Rico,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Non-Hispanic White
18136,Rhode Island,Percent of adults who engage in no leisure-time physical activity,31.3,Education,High school graduate
18137,Mississippi,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.1,Age (years),45 - 54
18138,Kentucky,Percent of adults aged 18 years and older who have obesity,47.8,Income,"$25,000 - $34,999"
18139,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.4,Education,High school graduate
18140,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,33.9,Education,Some college or technical school
18141,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,33.4,Age (years),18 - 24
18142,Ohio,Percent of adults aged 18 years and older who have obesity,28.4,Income,"$75,000 or greater"
18143,Iowa,Percent of adults aged 18 years and older who have an overweight classification,29.8,Race/Ethnicity,Asian
18144,Vermont,Percent of adults who engage in no leisure-time physical activity,15.6,Race/Ethnicity,2 or more races
18145,Puerto Rico,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,2 or more races
18146,Florida,Percent of adults who engage in no leisure-time physical activity,19.9,Race/Ethnicity,2 or more races
18147,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.5,Age (years),35 - 44
18148,Massachusetts,Percent of adults who engage in no leisure-time physical activity,19.4,Race/Ethnicity,2 or more races
18149,Maine,Percent of adults who engage in no leisure-time physical activity,24.6,Age (years),55 - 64
18150,Mississippi,Percent of adults aged 18 years and older who have obesity,36.6,Income,"$50,000 - $74,999"
18151,Michigan,Percent of adults aged 18 years and older who have obesity,43.8,Race/Ethnicity,Non-Hispanic Black
18152,Guam,Percent of adults aged 18 years and older who have obesity,25.4,Age (years),18 - 24
18153,Arizona,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,38.8,Age (years),25 - 34
18154,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.8,Income,"$35,000 - $49,999"
18155,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,30.5,Income,"$35,000 - $49,999"
18156,North Dakota,Percent of adults who report consuming vegetables less than one time daily,20.2,Education,Less than high school
18157,Alabama,Percent of adults who engage in no leisure-time physical activity,27.9,Income,"$35,000 - $49,999"
18158,West Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.1,Age (years),35 - 44
18159,Texas,Percent of adults aged 18 years and older who have obesity,32.5,Race/Ethnicity,American Indian/Alaska Native
18160,Rhode Island,Percent of adults who report consuming fruit less than one time daily,37.3,Race/Ethnicity,Non-Hispanic White
18161,National,Percent of adults aged 18 years and older who have obesity,35.9,Age (years),45 - 54
18162,Wisconsin,Percent of adults aged 18 years and older who have obesity,40.9,Age (years),35 - 44
18163,Virginia,Percent of adults who report consuming fruit less than one time daily,46.1,Income,"Less than $15,000"
18164,New York,Percent of adults aged 18 years and older who have obesity,17.1,Education,College graduate
18165,South Carolina,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.9,Gender,Male
18166,Mississippi,Percent of adults aged 18 years and older who have obesity,34.6,Income,"$50,000 - $74,999"
18167,Rhode Island,Percent of adults who engage in no leisure-time physical activity,24.4,Race/Ethnicity,Asian
18168,Kansas,Percent of adults who engage in no leisure-time physical activity,19.1,Race/Ethnicity,2 or more races
18169,New Jersey,Percent of adults who engage in no leisure-time physical activity,25.4,Age (years),45 - 54
18170,Oregon,Percent of adults who engage in no leisure-time physical activity,15.1,Income,Data not reported
18171,Mississippi,Percent of adults aged 18 years and older who have obesity,29.2,Income,Data not reported
18172,Mississippi,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.4,Age (years),55 - 64
18173,Guam,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Non-Hispanic Black
18174,North Carolina,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Non-Hispanic Black
18175,Texas,Percent of adults aged 18 years and older who have obesity,29.7,Age (years),65 or older
18176,Massachusetts,Percent of adults aged 18 years and older who have obesity,10.2,Race/Ethnicity,Asian
18177,Alabama,Percent of adults aged 18 years and older who have an overweight classification,36.6,Income,"$35,000 - $49,999"
18178,Delaware,Percent of adults aged 18 years and older who have obesity,30.4,Age (years),65 or older
18179,Montana,Percent of adults aged 18 years and older who have obesity,23.0,Race/Ethnicity,Non-Hispanic White
18180,New Mexico,Percent of adults aged 18 years and older who have obesity,27.1,Total,Total
18181,Kentucky,Percent of adults who engage in no leisure-time physical activity,19.8,Race/Ethnicity,Hispanic
18182,Georgia,Percent of adults aged 18 years and older who have an overweight classification,31.9,Total,Total
18183,National,Percent of adults aged 18 years and older who have obesity,15.2,Age (years),18 - 24
18184,New York,Percent of adults aged 18 years and older who have obesity,25.7,Age (years),65 or older
18185,Tennessee,Percent of adults who engage in no leisure-time physical activity,26.3,Age (years),45 - 54
18186,Oklahoma,Percent of adults who report consuming vegetables less than one time daily,22.4,Gender,Male
18187,National,Percent of adults who report consuming fruit less than one time daily,39.4,Race/Ethnicity,Hawaiian/Pacific Islander
18188,Washington,Percent of adults aged 18 years and older who have obesity,25.5,Income,Data not reported
18189,Pennsylvania,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.6,Education,Some college or technical school
18190,Texas,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
18191,Nevada,Percent of adults who engage in no leisure-time physical activity,25.7,Income,Data not reported
18192,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,28.7,Race/Ethnicity,Hispanic
18193,Connecticut,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.2,Total,Total
18194,Kansas,Percent of adults who engage in no leisure-time physical activity,19.6,Age (years),25 - 34
18195,North Dakota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.3,Age (years),65 or older
18196,Oklahoma,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.4,Age (years),55 - 64
18197,Vermont,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
18198,Minnesota,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
18199,Maine,Percent of adults who report consuming fruit less than one time daily,32.7,Age (years),45 - 54
18200,Kentucky,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.7,Income,"$50,000 - $74,999"
18201,Montana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,24.4,Education,Less than high school
18202,Nevada,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.7,Race/Ethnicity,American Indian/Alaska Native
18203,Colorado,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.9,Income,"Less than $15,000"
18204,National,Percent of adults who engage in no leisure-time physical activity,24.2,Total,Total
18205,Montana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.4,Gender,Female
18206,Kentucky,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.4,Age (years),45 - 54
18207,Maryland,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Hawaiian/Pacific Islander
18208,Mississippi,Percent of adults aged 18 years and older who have obesity,32.5,Income,"$25,000 - $34,999"
18209,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.5,Income,"$75,000 or greater"
18210,Washington,Percent of adults aged 18 years and older who have obesity,27.9,Age (years),65 or older
18211,Delaware,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),25.3,Age (years),25 - 34
18212,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,36.8,Race/Ethnicity,Non-Hispanic White
18213,South Carolina,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Other
18214,Connecticut,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,American Indian/Alaska Native
18215,Montana,Percent of adults aged 18 years and older who have an overweight classification,31.0,Race/Ethnicity,American Indian/Alaska Native
18216,Mississippi,Percent of adults who engage in no leisure-time physical activity,39.5,Age (years),65 or older
18217,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,34.5,Education,Some college or technical school
18218,Virginia,Percent of adults who engage in no leisure-time physical activity,39.7,Education,Less than high school
18219,Idaho,Percent of adults who engage in no leisure-time physical activity,19.4,Education,Some college or technical school
18220,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.5,Income,"$75,000 or greater"
18221,Michigan,Percent of adults aged 18 years and older who have an overweight classification,34.8,Income,"$75,000 or greater"
18222,New York,Percent of adults aged 18 years and older who have an overweight classification,35.9,Income,Data not reported
18223,Colorado,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,37.2,Income,"$25,000 - $34,999"
18224,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,24.5,Age (years),18 - 24
18225,Maine,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
18226,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.6,Age (years),35 - 44
18227,Ohio,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.4,Gender,Female
18228,Montana,Percent of adults aged 18 years and older who have an overweight classification,33.3,Age (years),25 - 34
18229,Ohio,Percent of adults who engage in no leisure-time physical activity,39.7,Education,Less than high school
18230,Alaska,Percent of adults who engage in no leisure-time physical activity,28.2,Income,"Less than $15,000"
18231,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.3,Education,Some college or technical school
18232,Nevada,Percent of adults aged 18 years and older who have obesity,32.5,Income,"$50,000 - $74,999"
18233,Massachusetts,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.1,Age (years),25 - 34
18234,Tennessee,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),20.6,Total,Total
18235,Hawaii,Percent of adults who engage in no leisure-time physical activity,26.1,Income,"Less than $15,000"
18236,West Virginia,Percent of adults who engage in no leisure-time physical activity,15.4,Education,College graduate
18237,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Other
18238,South Carolina,Percent of adults aged 18 years and older who have an overweight classification,40.1,Race/Ethnicity,Asian
18239,Ohio,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.5,Race/Ethnicity,2 or more races
18240,Michigan,Percent of adults who engage in no leisure-time physical activity,18.6,Income,"$50,000 - $74,999"
18241,Michigan,Percent of adults aged 18 years and older who have obesity,37.0,Race/Ethnicity,Hispanic
18242,Idaho,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,American Indian/Alaska Native
18243,Virginia,Percent of adults who engage in no leisure-time physical activity,30.8,Race/Ethnicity,Non-Hispanic Black
18244,Texas,Percent of adults aged 18 years and older who have an overweight classification,39.3,Income,"$75,000 or greater"
18245,Vermont,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Asian
18246,Delaware,Percent of adults who engage in no leisure-time physical activity,31.4,Education,Some college or technical school
18247,Nevada,Percent of adults aged 18 years and older who have obesity,19.8,Age (years),18 - 24
18248,Delaware,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,American Indian/Alaska Native
18249,Alabama,Percent of adults who engage in no leisure-time physical activity,15.5,Education,College graduate
18250,North Carolina,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.2,Age (years),25 - 34
18251,Guam,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.6,Education,Some college or technical school
18252,Michigan,Percent of adults aged 18 years and older who have obesity,32.4,Age (years),65 or older
18253,Maryland,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.4,Gender,Female
18254,Vermont,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.8,Education,Some college or technical school
18255,New Hampshire,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,American Indian/Alaska Native
18256,Illinois,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.0,Age (years),45 - 54
18257,Illinois,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,38.5,Income,"$75,000 or greater"
18258,Illinois,Percent of adults who report consuming fruit less than one time daily,38.4,Education,High school graduate
18259,Indiana,Percent of adults aged 18 years and older who have obesity,32.3,Gender,Male
18260,Alabama,Percent of adults who engage in no leisure-time physical activity,34.2,Gender,Female
18261,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,35.0,Age (years),35 - 44
18262,Oklahoma,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
18263,Illinois,Percent of adults aged 18 years and older who have obesity,45.5,Race/Ethnicity,Hispanic
18264,New York,Percent of adults who report consuming vegetables less than one time daily,13.8,Education,College graduate
18265,South Carolina,Percent of adults aged 18 years and older who have an overweight classification,37.9,Education,College graduate
18266,Iowa,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.2,Age (years),55 - 64
18267,New Jersey,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.4,Income,"$15,000 - $24,999"
18268,New Mexico,Percent of adults who report consuming fruit less than one time daily,37.5,Income,"$25,000 - $34,999"
18269,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,37.1,Income,Data not reported
18270,Kentucky,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.0,Race/Ethnicity,Non-Hispanic White
18271,Nevada,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),20.7,Income,"Less than $15,000"
